model,point,nominal_bits,task,metric,value,stderr,n_effective,n_original
meta-llama/Llama-3.2-3B,gptq4,4.0,winogrande,acc,0.681136543014996,0.013097928420088795,1267,1267
meta-llama/Llama-3.2-3B,greedy_gptq,4.82,arc_challenge,acc_norm,0.46331058020477817,0.014572000527756918,1172,1172
meta-llama/Llama-3.2-3B,greedy_gptq,4.82,arc_easy,acc_norm,0.7125420875420876,0.009286682281593562,2376,2376
meta-llama/Llama-3.2-3B,greedy_gptq,4.82,hellaswag,acc_norm,0.7275443138816968,0.0044431316326797,10042,10042
meta-llama/Llama-3.2-3B,greedy_gptq,4.82,lambada_openai,acc,0.6825150397826509,0.006485295423197962,5153,5153
meta-llama/Llama-3.2-3B,greedy_gptq,4.82,piqa,acc_norm,0.76550598476605,0.009885203143240411,1838,1838
meta-llama/Llama-3.2-3B,greedy_gptq,4.82,winogrande,acc,0.6906077348066298,0.012991329330822926,1267,1267
meta-llama/Llama-3.2-3B,hqq4,4.0,arc_challenge,acc_norm,0.4590443686006826,0.01456229107360112,1172,1172
meta-llama/Llama-3.2-3B,hqq4,4.0,arc_easy,acc_norm,0.6978114478114478,0.009422719042483133,2376,2376
meta-llama/Llama-3.2-3B,hqq4,4.0,hellaswag,acc_norm,0.7261501692889862,0.004450214826706745,10042,10042
meta-llama/Llama-3.2-3B,hqq4,4.0,lambada_openai,acc,0.6803803609547836,0.006496877615168048,5153,5153
meta-llama/Llama-3.2-3B,hqq4,4.0,piqa,acc_norm,0.763873775843308,0.009908965890558312,1838,1838
meta-llama/Llama-3.2-3B,hqq4,4.0,winogrande,acc,0.6842936069455406,0.013063094743000794,1267,1267
meta-llama/Llama-3.2-3B,random_hqq,7.7,arc_challenge,acc_norm,0.4590443686006826,0.01456229107360112,1172,1172
meta-llama/Llama-3.2-3B,random_hqq,7.7,arc_easy,acc_norm,0.7028619528619529,0.009377397867796908,2376,2376
meta-llama/Llama-3.2-3B,random_hqq,7.7,hellaswag,acc_norm,0.7303326030671181,0.004428800140739861,10042,10042
meta-llama/Llama-3.2-3B,random_hqq,7.7,lambada_openai,acc,0.6910537550941199,0.006437384484045228,5153,5153
meta-llama/Llama-3.2-3B,random_hqq,7.7,piqa,acc_norm,0.766050054406964,0.009877236895137361,1838,1838
meta-llama/Llama-3.2-3B,random_hqq,7.7,winogrande,acc,0.6835043409629045,0.013071868328051517,1267,1267
meta-llama/Llama-3.2-3B,resmax_gptq,4.82,arc_challenge,acc_norm,0.45307167235494883,0.014546892052005678,1172,1172
meta-llama/Llama-3.2-3B,resmax_gptq,4.82,arc_easy,acc_norm,0.7234848484848485,0.00917788010146832,2376,2376
meta-llama/Llama-3.2-3B,resmax_gptq,4.82,hellaswag,acc_norm,0.7327225652260506,0.004416339450436367,10042,10042
meta-llama/Llama-3.2-3B,resmax_gptq,4.82,lambada_openai,acc,0.6844556568988939,0.006474629636371703,5153,5153
meta-llama/Llama-3.2-3B,resmax_gptq,4.82,piqa,acc_norm,0.763873775843308,0.009908965890558312,1838,1838
meta-llama/Llama-3.2-3B,resmax_gptq,4.82,winogrande,acc,0.6906077348066298,0.012991329330822926,1267,1267
