model,method,bits,nominal_bits,model_bits,ppl,ppl_ci_low,ppl_ci_high,n_seeds,source,accounting_status
meta-llama/Llama-3.2-1B,SEQ:residual_max(gptq_llmc-4b k=0.1),5.852,5.201,11.41,10.4128,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(gptq_llmc-4b k=0.1),5.852,5.201,11.41,10.4409,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(gptq_llmc-4b k=0.1),5.852,5.201,11.41,10.4839,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(gptq_llmc-4b k=0.1),5.852,5.201,11.41,10.4847,10.2899,10.6796,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(gptq_llmc-4b k=0.1),5.852,5.201,11.41,10.6455,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(gptq_llmc-4b k=0.1),5.852,5.201,11.41,11.251,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy(gptq_llmc-4b k=0.1),5.852,5.201,11.41,77.9875,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy(hqq-4b k=0.1),6.102,5.201,11.607,10.2162,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(hqq-4b k=0.1),6.102,5.201,11.607,10.2386,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-4b k=0.1),6.102,5.201,11.607,10.2464,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(hqq-4b k=0.1),6.102,5.201,11.607,10.25,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(hqq-4b k=0.1),6.102,5.201,11.607,10.4002,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(hqq-4b k=0.1),6.102,5.201,11.607,10.4034,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(hqq-4b k=0.1),6.102,5.201,11.607,10.9765,10.9426,11.0105,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-6b k=0.0),6.5,6.0,9.901,9.8294,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,HQQ-6 uniform,6.5,6.0,9.901,9.8294,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:tier_alloc(hqq-4b [budget=2.0]),6.557,4.535,9.958,10.4785,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(gptq_llmc-4b k=0.2),7.454,6.402,12.671,10.3555,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(gptq_llmc-4b k=0.2),7.454,6.402,12.671,10.3827,,,1,sweep,recomputed_from_storage_breakdown
