model,method,bits,nominal_bits,model_bits,ppl,ppl_ci_low,ppl_ci_high,n_seeds,source,accounting_status
meta-llama/Llama-3.2-1B,SEQ:greedy(hqq-4b k=0.1),6.102,5.201,9.503,10.2989,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(hqq-4b k=0.1),6.102,5.201,9.503,10.3228,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-4b k=0.1),6.102,5.201,9.503,10.332,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(hqq-4b k=0.1),6.102,5.201,9.503,10.3369,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(gptq_llmc-4b k=0.1),6.102,5.201,9.503,10.3909,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(gptq_llmc-4b k=0.1),6.102,5.201,9.503,10.411,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(gptq_llmc-4b k=0.1),6.102,5.201,9.503,10.4603,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(hqq-4b k=0.1),6.102,5.201,9.503,10.5009,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(hqq-4b k=0.1),6.102,5.201,9.503,10.5035,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(gptq_llmc-4b k=0.1),6.102,5.201,9.503,10.6025,10.13,11.075,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(gptq_llmc-4b k=0.1),6.102,5.201,9.503,10.6377,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(hqq-4b k=0.1),6.102,5.201,9.503,11.0798,11.035,11.1245,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(gptq_llmc-4b k=0.1),6.102,5.201,9.503,14.864,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy(gptq_llmc-4b k=0.1),6.102,5.201,9.503,103.5316,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-6b k=0.0),6.5,6.0,9.901,9.8295,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,HQQ-6 uniform,6.5,6.0,9.901,9.8295,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:tier_alloc(hqq-4b [budget=2.0]),6.557,4.535,9.958,10.4791,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy(hqq-4b k=0.2),7.704,6.402,11.105,10.2067,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-4b k=0.2),7.704,6.402,11.105,10.2269,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(hqq-4b k=0.2),7.704,6.402,11.105,10.2298,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(hqq-4b k=0.2),7.704,6.402,11.105,10.232,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_max(gptq_llmc-4b k=0.2),7.704,6.402,11.105,10.3495,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(gptq_llmc-4b k=0.2),7.704,6.402,11.105,10.3621,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(hqq-4b k=0.2),7.704,6.402,11.105,10.3947,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(hqq-4b k=0.2),7.704,6.402,11.105,10.3994,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:residual_rms(gptq_llmc-4b k=0.2),7.704,6.402,11.105,10.4028,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_scale(gptq_llmc-4b k=0.2),7.704,6.402,11.105,10.4489,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(gptq_llmc-4b k=0.2),7.704,6.402,11.105,10.6495,10.2509,11.0481,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:random(hqq-4b k=0.2),7.704,6.402,11.105,10.9746,10.9317,11.0175,3,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy_indep(gptq_llmc-4b k=0.2),7.704,6.402,11.105,15.6073,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:greedy(gptq_llmc-4b k=0.2),7.704,6.402,11.105,106.8236,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,SEQ:act_max(hqq-8b k=0.0),8.5,8.0,11.901,9.7618,,,1,sweep,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,HQQ-8 uniform,8.5,8.0,11.901,9.7618,,,1,baseline,recomputed_from_storage_breakdown
meta-llama/Llama-3.2-1B,FP16,16.0,16.0,,9.7571,,,1,baseline,declared_external
