model,method,status,reason,tasks,lm_eval_source,model_path,run_dir,ppl,ppl_source,ppl_dataset,ppl_seq_len,duration_sec,notes
meta-llama/Llama-3.1-8B,base,success,,ppl,,meta-llama/Llama-3.1-8B,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/base,6.238421131588034,seq_ppl,wikitext2,2048,51.89810001399974,PPL from SEQ evaluator
meta-llama/Llama-3.1-8B,seq_v0,success,,ppl,,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v0/seq_runs/latest/model_quantized,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v0,6.515656481355993,seq_ppl,wikitext2,2048,468.46732389,PPL from SEQ evaluator
meta-llama/Llama-3.1-8B,seq_v1,success,,ppl,,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v1/seq_runs/latest/model_quantized,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v1,6.509643926962678,seq_ppl,wikitext2,2048,261.58400749400016,PPL from SEQ evaluator
meta-llama/Llama-3.1-8B,seq_v2,success,,ppl,,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v2/seq_runs/latest/model_quantized,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v2,6.466087845126874,seq_ppl,wikitext2,2048,270.97832415799985,PPL from SEQ evaluator
meta-llama/Llama-3.1-8B,seq_v3,success,,ppl,,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v3/seq_runs/latest/model_quantized,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v3,6.41632785891704,seq_ppl,wikitext2,2048,273.9746056580002,PPL from SEQ evaluator
meta-llama/Llama-3.1-8B,seq_v4,success,,ppl,,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v4/seq_runs/latest/model_quantized,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v4,6.3187399575196315,seq_ppl,wikitext2,2048,321.8499250549994,PPL from SEQ evaluator
meta-llama/Llama-3.1-8B,seq_v5,success,,ppl,,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v5/seq_runs/latest/model_quantized,results/20260710_073317/compare_real__Llama-3.1-8B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_073320_156703/meta-llama_Llama-3.1-8B/seq_v5,6.366865827176138,seq_ppl,wikitext2,2048,273.7122836369999,PPL from SEQ evaluator
