model,method,status,reason,tasks,lm_eval_source,model_path,run_dir,ppl,ppl_source,ppl_dataset,ppl_seq_len,duration_sec,notes
meta-llama/Llama-3.2-3B,base,success,,ppl,,meta-llama/Llama-3.2-3B,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/base,7.816661132121476,seq_ppl,wikitext2,2048,29.46128143699991,PPL from SEQ evaluator
meta-llama/Llama-3.2-3B,seq_v0,success,,ppl,,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v0/seq_runs/latest/model_quantized,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v0,8.107891666266765,seq_ppl,wikitext2,2048,122.53908579400002,PPL from SEQ evaluator
meta-llama/Llama-3.2-3B,seq_v1,success,,ppl,,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v1/seq_runs/latest/model_quantized,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v1,8.109034027777211,seq_ppl,wikitext2,2048,104.8519716589999,PPL from SEQ evaluator
meta-llama/Llama-3.2-3B,seq_v2,success,,ppl,,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v2/seq_runs/latest/model_quantized,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v2,7.999293640956694,seq_ppl,wikitext2,2048,108.44070907500009,PPL from SEQ evaluator
meta-llama/Llama-3.2-3B,seq_v3,success,,ppl,,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v3/seq_runs/latest/model_quantized,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v3,7.91739579353623,seq_ppl,wikitext2,2048,114.02134684499993,PPL from SEQ evaluator
meta-llama/Llama-3.2-3B,seq_v4,success,,ppl,,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v4/seq_runs/latest/model_quantized,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v4,7.872432372130175,seq_ppl,wikitext2,2048,114.03463150800007,PPL from SEQ evaluator
meta-llama/Llama-3.2-3B,seq_v5,success,,ppl,,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v5/seq_runs/latest/model_quantized,results/20260710_070422/compare_real__Llama-3.2-3B__base-seq_v0-seq_v1-seq_v2-seq_v3-seq_v4-seq_v5__ppl__20260710_070425_495222/meta-llama_Llama-3.2-3B/seq_v5,7.941239570776398,seq_ppl,wikitext2,2048,108.0200893839999,PPL from SEQ evaluator
