model,method,status,reason,tasks,lm_eval_source,model_path,run_dir,ppl,ppl_source,ppl_dataset,ppl_seq_len,duration_sec,notes
meta-llama/Llama-3.1-8B,base,success,,ppl,,meta-llama/Llama-3.1-8B,results/20260710_071923/compare_real__Llama-3.1-8B__base-seq__ppl__20260710_071924_715229/meta-llama_Llama-3.1-8B/base,6.238421131588034,seq_ppl,wikitext2,2048,180.32761749199994,PPL from SEQ evaluator
meta-llama/Llama-3.1-8B,seq,success,,ppl,,results/20260710_071923/compare_real__Llama-3.1-8B__base-seq__ppl__20260710_071924_715229/meta-llama_Llama-3.1-8B/seq/seq_runs/latest/model_quantized,results/20260710_071923/compare_real__Llama-3.1-8B__base-seq__ppl__20260710_071924_715229/meta-llama_Llama-3.1-8B/seq,6.515656481355993,seq_ppl,wikitext2,2048,489.6375587529999,PPL from SEQ evaluator
